,Course,Course URL,Subject,Last Offered,Course Title,Credits Offered,Assessment of Sustainability Focused or Inclusive,Offered to UG/G/Both or Other,Justification for classification (including quotes from syllabi/course descriptions where applicable),Description,Course Home Department,Last Catalog Year Reviewed,Unnamed: 12,"The courses were counted using catalog listings with language that is aligned with the Earth Charter, covering topics such as ecological integrity, social and economic justice, and democracy and nonviolence.  Course descriptions that included terms like ""environment,"" ""sustainable/sustainability,"" and ""energy"" were counted as Sustainability-Focused courses, and the other courses that address a topic from the Earth Charter but are not centrally-focused on sustainability were considered Sustainability-Included courses.",Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
36,ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=336&p_subj=ANTH,336/536,,Becoming A Doctor,3,N,Both,Health justice - but does not specify that it relates to confronting challenges or bettering the field/critically evaluating health inequities,"The course introduces such classic anthropological concepts as the rite of passage and the cultural system as frames for the investigation of the professionalization of medicine as a discipline, medical training and the changing epistemologies of medical knowledge and the changing scope and content of the medical cosmos.",Anthropology,2020-21,,,,,,
37,ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=340&p_subj=ANTH,340,Fall 2020,Neoliberalism And Globalization,3,Y - included,Both,"Potentially included (even focused??): globalization, neoliberal policy, change over time, fascist and socialist movement. In addition, there is a section of the course devoted to ""discuss[ing] the ecological and economic legaicies of neoliberalism as the world sseeks to reconcile the growth logic of global capitalism with the environmental crises of the Anthropocene""","This course explores the relationship between two of the most powerful forces shaping the world today: economic globalization and political neoliberalism. Using ethnographic, policy and theoretical documentation drawn from a variety of case studies, we will reconstruct the interrelated origins of globalization and neoliberalism and map their social and cultural impacts across the world. ",Anthropology,2020-21,,,,,,
38,ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=341&p_subj=ANTH,341/541,Spring 2020,Museums And Heritage,,Y - included,G,"Thinking about the sustainability of cultures andcultural artifacts by way of preservation and education. ""understand the historical, shifting roles of objects, including art, in museums, particularly with regard to the concept of heritage""","A wide-ranging introduction to museum studies with a particular focus on the collection and exhibition of cultural heritage materials. We will examine how heritage objects are displayed and represented in museums of art, natural historical history, and heritage. Topics include looking and ethics of collecting, policies of display, changing roles for museums; exhibition design and curatorial practice. ","Anthropology, Hurc",2020-21,,,,,,
39,HURC,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=341&p_subj=ANTH,342,Spring 2021,Museums And Heritage,,Y - included,G,"Thinking about the sustainability of cultures andcultural artifacts by way of preservation and education. ""understand the historical, shifting roles of objects, including art, in museums, particularly with regard to the concept of heritage""","A wide-ranging introduction to museum studies with a particular focus on the collection and exhibition of cultural heritage materials. We will examine how heritage objects are displayed and represented in museums of art, natural historical history, and heritage. Topics include looking and ethics of collecting, policies of display, changing roles for museums; exhibition design and curatorial practice. ","Anthropology, Hurc",2020-2021,,,,,,
40,ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=343&p_subj=ANTH,343,,New Religious Movements In Africa,3,Y - focus,UG,"Globalization, imperialism, inequality, indigenous religions","Discusses new religious movements and the religious, sociological, and political factors leading to their rise, also missionary and colonial reactions to them. Examines their relationship to indigenous religions, political praxis, and their focus on this-worldly salvation in the wake of political and economic marginality. ",Anthropology,2020-21,,,,,,
41,RELI,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=343&p_subj=ANTH,343,,New Religious Movements In Africa,4,Y - focus,UG,"Globalization, imperialism, inequality, indigenous religions","Discusses new religious movements and the religious, sociological, and political factors leading to their rise, also missionary and colonial reactions to them. Examines their relationship to indigenous religions, political praxis, and their focus on this-worldly salvation in the wake of political and economic marginality. ",Religion,2020-22,,,,,,
42,ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=344&p_subj=ANTH,344/544,Fall 2020,City/Culture,3,Y - included,Both,"Included or even focused: Urban planning, industrialization, urbanization, colonialism. Interested in ""the way we view and inhabit our urban environments,"" focusing on ""infrastructures tha tmake up the cit, such as garbage collection, transportation, water and electricity"". Also looks at gender, sexuality, and labor. In addition, several readings look at the future of cities and technology and deal with climate change","The course treats both the theorization and the ethnographic exploration of the urban imaginary; urban spaces and practices; urban, suburban, and post-urban planning; city-states, colonial cities, and capital cities; and the late 20th century metropolis.",Anthropology,2020-21,,,,,,
43,ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=347&p_subj=ANTH,347/547,Spring 2019,The Us As A Foreign Country,3,N,Both,"Upon reviewing syllabus, not convinced. Was thinking about cultural relativism and development, but this is not really what it is about. ","The course looks at selected aspects of American culture and society from an anthropological point of view. Readings derive from the works of both foreign and native observers, past and present. ",Anthropology,2020-21,,,,,,
44,ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=348&p_subj=ANTH,348/548,Spring 2019,The Anthropologies Of Nature,3,Y - focus,Both,"Focused: centrally concerned with thinking critically about nature, the human-nature relationship, and the environment from a social sciences perspective. ","This class examines the uses and makings of nature in accounts of the human and post-human. It introduces students to nature as an object of study, as an analytic and as a heuristic. Some of the topics the course explores include the nature-culture dyad, nature as resource, science and technology and the remaking of nature, economies of nature, materiality, nature and kinship, and natural ontologies.",Anthropology,2020-21,,,,,,
45,ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=351&p_subj=ANTH,351,,Cultures Of Nationalism,3,Y - included,Both,"Imperialism, global development and inequality - also, there must be some importance to the fact hat it deals with declarations from the UN, who produced so many guiding documents on sustainability ","This course will examine the cultural dimensions of nationalism, particularly around the creation of forms of ""peoplehood"" that seem to be presupposed by almost all nation-building projects. Texts to be analyzed will include the Declaration of Independence, the United States Constitution, and the Declaration of the Rights of Man.",Anthropology,2020-21,,,,,,
