Course URL,Course Name,Subject Code,Course Number
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=358&p_subj=ANTH,ANTH 358,ANTH,358
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=359&p_subj=ANTH,ANTH 359,ANTH,359
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=360&p_subj=ANTH,ANTH 360,ANTH,360
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=361&p_subj=ANTH,ANTH 361,ANTH,361
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=362&p_subj=ANTH,ANTH 362,ANTH,362
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=363&p_subj=ANTH,ANTH 363,ANTH,363
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=364&p_subj=ANTH,ANTH 364,ANTH,364
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=365&p_subj=ANTH,ANTH 365,ANTH,365
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=366&p_subj=ANTH,ANTH 366,ANTH,366
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=368&p_subj=ANTH,ANTH 368,ANTH,368
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=370&p_subj=ANTH,ANTH 370,ANTH,370
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=371&p_subj=ANTH,ANTH 371,ANTH,371
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=372&p_subj=ANTH,ANTH 372,ANTH,372
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=373&p_subj=ANTH,ANTH 373,ANTH,373
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=374&p_subj=ANTH,ANTH 374,ANTH,374
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=375&p_subj=ANTH,ANTH 375,ANTH,375
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=376&p_subj=ANTH,ANTH 376,ANTH,376
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=377&p_subj=ANTH,ANTH 377,ANTH,377
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=380&p_subj=ANTH,ANTH 380,ANTH,380
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=381&p_subj=ANTH,ANTH 381,ANTH,381
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=382&p_subj=ANTH,ANTH 382,ANTH,382
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=384&p_subj=ANTH,ANTH 384,ANTH,384
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=385&p_subj=ANTH,ANTH 385,ANTH,385
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=386&p_subj=ANTH,ANTH 386,ANTH,386
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=389&p_subj=ANTH,ANTH 389,ANTH,389
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=390&p_subj=ANTH,ANTH 390,ANTH,390
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=391&p_subj=ANTH,ANTH 391,ANTH,391
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=392&p_subj=ANTH,ANTH 392,ANTH,392
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=393&p_subj=ANTH,ANTH 393,ANTH,393
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=394&p_subj=ANTH,ANTH 394,ANTH,394
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=395&p_subj=ANTH,ANTH 395,ANTH,395
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=396&p_subj=ANTH,ANTH 396,ANTH,396
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=397&p_subj=ANTH,ANTH 397,ANTH,397
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=398&p_subj=ANTH,ANTH 398,ANTH,398
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=399&p_subj=ANTH,ANTH 399,ANTH,399
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=400&p_subj=ANTH,ANTH 400,ANTH,400
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=402&p_subj=ANTH,ANTH 402,ANTH,402
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=403&p_subj=ANTH,ANTH 403,ANTH,403
