Course,Course URL,Subject,Last Offered,Course Title,Credits Offered,Assessment of Sustainability Focused or Inclusive,Offered to UG/G/Both or Other,Justification for classification (including quotes from syllabi/course descriptions where applicable),Description,Course Home Department,Last Catalog Year Reviewed,,"The courses were counted using catalog listings with language that is aligned with the Earth Charter, covering topics such as ecological integrity, social and economic justice, and democracy and nonviolence.  Course descriptions that included terms like ""environment,"" ""sustainable/sustainability,"" and ""energy"" were counted as Sustainability-Focused courses, and the other courses that address a topic from the Earth Charter but are not centrally-focused on sustainability were considered Sustainability-Included courses.",,,,
MILI,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=122&p_subj=MILI,122,Fall 2021,Introduction To Leadership Ii,2,NO,UG,No notable focus on sustainability.,Continuation of MILI 121. One hour classroom session and a required lab. No military commitment is required for attending this course. Course taught at the University of Houston. Must provide CC Form 139-r to Military Science Dept. at UH prior to attendance. Department Permission Required.,Military Science,2021-2022,,,,,,
MILI,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=123&p_subj=MILI,123,Fall 2021,Leadership Lab,0,NO,UG,No notable focus on sustainability.,Course taught at the University of Houston. Must provide CC Form 139-r and DA 3425 to Military Science Dept. at UH prior to attendance. Department Permission Required.,Military Science,2021-2022,,,,,,
MILI,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=201&p_subj=MILI,201,Fall 2021,Foundations Of Leadership,2,NO,UG,No notable focus on sustainability.,"Characteristics of leadership, problem analysis, decision making, oral presentations, first aid, small unit tactics, land navigation, fitness training. Fitness training required two times per week in addition to class and lab. Course taught at the University of Houston. Must provide CC Form 139-r to Military Science Dept. at UH prior to attendance. Department Permission Required.",Military Science,2021-2022,,,,,,
MILI,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=202&p_subj=MILI,202,Spring 2022,Foundations Of Leadership Ii,2,NO,UG,No notable focus on sustainability.,Continuation of MILI 201. Course taught at the University of Houston. Must provide CC Form 139-r to Military Science Dept. at UH prior to attendance. Department Permission Required.,Military Science,2021-2022,,,,,,
MILI,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=203&p_subj=MILI,203,Fall 2021,Leadership Laboratory,0,NO,UG,No notable focus on sustainability.,Course taught at the University of Houston. Must provide CC Form 139-rand DA 3425 to Military Science Dept. at UH prior to attendance. Department Permission Required.,Military Science,2021-2022,,,,,,
MILI,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=238&p_subj=MILI,238,Fall 2021,Special Topics,1 to 4,NO,UG,No notable focus on sustainability.,Topics and credit hours may vary each semester. Contact department for current semester topic(s). Repeatable for Credit.,Military Science,2021-2022,,,,,,
MILI,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=281&p_subj=MILI,281,Fall 2021,Leader Training Course (Ltc),8,NO,UG,No notable focus on sustainability.,Four week off campus field training practicum. Introduces students to the Army and Leadership. No military obligation is associated with this course. Course taught at the University of Houston. Department Permission Required.,Military Science,2021-2022,,,,,,
MILI,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=301&p_subj=MILI,301,Fall 2021,Advanced Leadership,3,NO,UG,No notable focus on sustainability.,"Leadership training, preparing combat orders, military instruction principles, small unit tactics, and tactical communications. Course is designed to prepare students for Leader Development Assessment Course (LDAC). In addition to class, students must attend lab and physical fitness training. Course taught at the University of Houston. Department Permission Required.",Military Science,2021-2022,,,,,,
MILI,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=302&p_subj=MILI,302,Fall 2021,Advanced Leadership Ii,3,NO,UG,No notable focus on sustainability.,Continuation of MILI 301. Course taught at the University of Houston. Department Permission Required.,Military Science,2021-2022,,,,,,
MILI,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=304&p_subj=MILI,304,Fall 2021,Leadership Laboratory,0,NO,UG,No notable focus on sustainability.,Course taught at the University of Houston. Department Permission Required.,Military Science,2021-2022,,,,,,
MILI,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=349&p_subj=MILI,349,Fall 2021,Leader Development Assessment,4,NO,UG,No notable focus on sustainability.,Off campus field training practicum stressing application of leadership management with emphasis on tactical and special military skills. Course taught at the University of Houston. Department Permission Required.,Military Science,2021-2022,,,,,,
MILI,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=398&p_subj=MILI,398,Fall 2021,Special Problems,3,NO,UG,No notable focus on sustainability.,Course taught at the University of Houston. Department Permission Required.,Military Science,2021-2022,,,,,,
MILI,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=401&p_subj=MILI,401,Fall 2021,Adaptive Leadership,3,NO,UG,No notable focus on sustainability.,"Leadership and command, military law, administrative/staff operations and procedures, dynamics of the military team, training management, ethics and professionalism. Prepares students for commissioning as an Army Officer. In addition to class, students must attend lab and physical fitness training. Course taught at the University of Houston. Department Permission Required.",Military Science,2021-2022,,,,,,
MILI,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=402&p_subj=MILI,402,Fall 2021,Leadership In A Complex World,3,NO,UG,No notable focus on sustainability.,Continuation of MILI 401. Course taught at the University of Houston. Department Permission Required.,Military Science,2021-2022,,,,,,
MILI,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=403&p_subj=MILI,403,Fall 2021,Leadership Laboratory,0,NO,UG,No notable focus on sustainability.,Course taught at the University of Houston. Department Permission Required.,Military Science,2021-2022,,,,,,
MILI,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=439&p_subj=MILI,439,Fall 2021,Special Problems,3,NO,UG,No notable focus on sustainability.,Course taught at the University of Houston. Department Permission Required.,Military Science,2021-2022,,,,,,
MILI,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=477&p_subj=MILI,477,Fall 2021,Special Topics,1 to 4,NO,UG,No notable focus on sustainability.,Course taught at the University of Houston. Department Permission Required.,Military Science,2021-2022,,,,,,
MLSC,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=502&p_subj=MLSC,502,,Our Environment: Science And Culture,3,Y - included,Grad,Looking at sus challenges of the environment through the perspective of science and culture. Unclear how much is focused on the environment vs. environmental challenges,"In this course, students will learn environmental concepts, the science and culture behind them and possible reactions to related problems from a political, economic and cultural perspective. The instructor will introduce the necessary background material in biology, ecology and chemistry as needed but the emphasis will be on obtaining scientific literacy in environmental studies. Department Permission Required.",School Of Continuing Studies,2020-21,,,,,,
MLSC,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=509&p_subj=MLSC%5C,509,,"Stereotypes, Prejudice, Discrimination",3,Y - focus,Grad,Looking at sus challenges related to racial and gendered inequality through the lens of social sciences and prejudice,"In the past century social scientists have learned an enormous amount about stereotypes, prejudice and discrimination, yet they remain poorly understood by the public at large and especially by public policy makers. We all hold stereotypes, show prejudices and discriminate although not necessarily in traditional racist or sexist ways. This course will explore what social scientists, especially social psychologists, have learned about these issues especially in the last quarter century. While we will cover traditional racial and gender issues, we will also consider material related to obesity, homosexuality, mental and physical disability and age among other topics. Department Permission Required.",School Of Continuing Studies,2020-21,,,,,,
MLSC,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=526&p_subj=MLSC,526,,Contemporary Moral Issues,3,Y - included,Grad,"Issues discussed in class involve world hunger and poverty, affirmative action - topics that, respectively, intersect with sus challenges of global economic inequality and racial inequlaity","The cardinal objective of the course is to stimulate students to analyze and evaluate the opposing viewpoints of some scholars who have expressed their views on some of the most disputed moral issues in contemporary American culture. Specifically, the required readings for the class focus on abortion, the death penalty, euthanasia, world hunger and poverty, sexual morality, drugs and addiction and affirmative action. Arrangements will be made for a tour of a prison unit and the opportunity to discuss the death penalty with several inmates. Department Permission Required.",School Of Continuing Studies,2020-21,,,,,,
MLSC,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=533&p_subj=MLSC,533,,Self Determiniation In The Arab World,3,Y - included,Grad,"Looking at issues of conflict, nationalism, colonialism, and democracy","This course investigates the history of the struggle for self determination and democracy in the Arab world. It provides a historical perspective by exploring the antecedents to the current so-called ""Arab Spring,"" specifically by comparing the anti-colonial nationalisms of the twentieth century with the today's pro-democracy movements. It will also examine the role of the West, including the United States, in hindering or promoting anti-colonialism, nationalism and democracy in the Arab world. Department Permission Required.",School Of Continuing Studies,2020-21,,,,,,
MLSC,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=534&p_subj=MLSC,534,,Human Rights In World Affairs,3,Y - included,Grad,Philosophical frameworks for understanding human rights. Human rights address sus challenges related to global inequality and how it is addressed,"The course examines the history of human rights and humanitarianism from the eighteenth century Enlightenment era to the present. How did human rights become the premier moral language of our times and the idiom in which recent generations frame their idealism? While universal human rights may seem timeless, they have a long and checkered political and philosophical history. This seminar will explore that history through anthropology and legal studies as well as through case studies of non-governmental organizations. Special attention will be given to international law and shifts in international politics in the twentieth century. The course will also analyze the passions that motivated people to pursue human rights and the empathy that led them to uproot injustice. Department Permission Required.",School Of Continuing Studies,2020-21,,,,,,
MLSC,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=535&p_subj=MLSC,535,,"Dickens, Twist, Poverty, And Social Justice",3,Y - focus,Grad,"Treatment of children, welfare, poverty, domestic violence, and anti-Semitism through the lens of literature","During the worldwide celebrations of Charles Dickens's bicentenary in 2011-12 Oliver Twist received vibrant new attention because its treatment of children, welfare, poverty, domestic violence, and anti-Semitism seemed so relevant to contemporary issues. In this course we will read the novel alongside and against the economic and social theories and practices of Dickens's time, and ask many questions. Department Permission Required.",School Of Continuing Studies,2020-21,,,,,,
MLSC,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=539&p_subj=MLSC,539,,Immigration And The State,3,Y - focus,Grad,"Movement and migration, application of historical contexts to contemporary challenges","The course traces the history of immigration within and to Europe and to the United States from the late 19th century to the present. How did the United States and the European states elicit, regulate or contain successive waves of labor and colonial migrants, stateless persons and asylum seekers? And what type of legal, political and cultural debates did the ""immigrant question"" raise in the public sphere since the advent of mass migration? We will discuss key issue regarding immigration including political asylum, guest-worker programs, assimiliation and integration debates, and immigrants and the welfare state Department Permission Required.",School Of Continuing Studies,2020-21,,,,,,
MLSC,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=541&p_subj=MLSC,541,,Equality & Religious Beliefs,3,Y - focus,Grad,Looking at gender inequality globally as well as myths about this topic. Focuses as well on the socio-cultural and political context of this sus challenge,"This class aims to explore the intertwined relationship between gender equality, human rights and religious beliefs globally. Additionally, the class will focus on realities and misconceptions on women's status in the Middle East and North Africa and explore the impact of the socio-cultural and political context on shaping gender relations across the region. Department Permission Required.",School Of Continuing Studies,2020-21,,,,,,
MLSC,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=552&p_subj=MLSC,552,,Conserving Biodiversity,3,Y - focus,Grad,Confronting sus challenges related to the environment,"Many scientists have coined the current geological age as the ""Anthropocene"" in reference to the impact of mankind on the planet. This course will examine biodiversity, how biodiversity influences our lives, the forces that affect biodiversity worldwide, and how we can protect it. Local species and ecosystems will be highlighted. ",School Of Continuing Studies,2020-21,,,,,,
MLSC,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=553&p_subj=MLSC,553,,Solving The Climate Challenge,3,Y - focus,Grad,Confronting sus challenges related to climate change,"This course overviews climate science and explores strategies for transforming electricity, transportation, and agriculture to avert the impacts of abrupt climate change. Department Permission Required.",School Of Continuing Studies,2020-21,,,,,,
MLSC,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=559&p_subj=MLSC,559,,Environmental Literature,3,Y - focus,Grad,"Literature as a lens to understand ""major concerns about the environment""","Environmental Literature will focus on nature essay writers, ecopoets, and ecocriticism. The course will include poetry and other literary writing designed to inspire and creatively capture the natural environment and nonfiction nature writing that highlights major concerns about the environment and aims to transform the thoughts and behavior of society. Department Permission Required.",School Of Continuing Studies,2020-21,,,,,,
MLSC,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=561&p_subj=MLSC,561,,History Of South Asia,3,Y - included,Grad,"History of South Asia with focus towards ""resistance movements among South Asians"" and the ""experience of partition""; colonialism, global development","A broad introduction to the history of the cultural, religious, economic and political systems of South Asia, this course explores the centuries-long development of Hinduism and Buddhism, rise of Islamic state power and establishment of British control, culminating in resistance movements among South Asians and establishment of modern nation states, alongside the wrenching experience of Partition. Department Permission Required.
 ",School Of Continuing Studies,2020-21,,,,,,
MLSC,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=565&p_subj=MLSC,565,,Past And Future Climate Change,3,Y - focus,Grad,sus challenges related to climate change,"Have humans really altered the course of natural climate change? Can this course be altered? This course introduces students to the methods used by scientists to study Earth's climate history. We will examine methods used to study Earth's climate evolution over hundreds of millions to decadal time scales. Why did Earth's climate undergo extreme changes from ""icehouse"" conditions when much of its surface was covered by ice, to ""greenhouse"" conditions when the planet was much warmer than present? What was the impact of these changes on Earth's inhabitants? Lastly, we will use Earth's climate history as context for understanding the role of humans in altering the course of our planet. How reliable are climate predictions and what can be done to curtail climate change? Department Permission Required.",School Of Continuing Studies,2020-21,,,,,,
MLSC,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=568&p_subj=MLSC,568,,Aggression And Violence,3,Y - included,Grad,Approaching sus challenges related to violence and conflict through a psychological framework,"This course provides an overview of empirical research on the social psychology of aggression and violence, flowing from evolutionary/biological perspectives, cultural perspectives, and contextual/situational perspectives. Through exposure to classic and contemporary works in this course, students will get a taste of the breadth of social-psychological research on aggression and violence. Department Permission Required.
 ",School Of Continuing Studies,2020-21,,,,,,
MLSC,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=569&p_subj=MLSC,569,,Foresight In Social Justice,3,Y - focus,Grad,Looking at solutions to sus challenges through the lens of social justice movements/analyzing these movements," Foresight in Social Justice will explore and analyze social justice issues, and then suggest positive action for social change. This course introduces students to future studies research, enabling individuals to spot emerging opportunities and threats within the context of social justice and develop innovative responses to serve changing needs. Department Permission Required.",School Of Continuing Studies,2020-21,,,,,,
MLSC,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=570&p_subj=MLSC,570,,Children Of Immigrants,3,Y - focus,Grad,"global movement, racial/ethnic inequality; oriented towards problem solving contemporary challenges in Houston and US context","Through this course, students will learn about developmental psychology and developmental outcomes within the context of immigration. Given that the Houston metropolitan area hosts the fourth highest number of children of immigrants in the entire country, this course will provide students with the opportunity to connect theoretical knowledge with community related issues. Throughout the semester, the students will read recent scientific articles and policy-related reports that will provide background information for in-class discussions. In addition, students will engage in class exercises to brainstorm about local and national issues related to the course content. As a semester project, students will select a topic for further exploration resulting in a written essay and oral representation to the class. Department Permission Required.",School Of Continuing Studies,2020-21,,,,,,
MLSC,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=616&p_subj=MLSC,616,,Oceanways Of British Empire,3,Y - included,Grad,"Looking at empire and global development, historically and today","Never in the history of imperial expansion has there ever been anything that compared to the British Empire at its height in the days of Queen Victoria. In size the Empire was supreme, ruling the largest area and the largest number of people. This course will examine these aspects of the Victorian Empire and compare them with imperial activities of the present day. Department Permission Required.",School Of Continuing Studies,2020-21,,,,,,
MLSC,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=637&p_subj=MLSC,637,,The Literature Of The Sixties,3,Y - included,Grad,"Looking at themes of upheaval, violent conflict, economic inequality, global development through the lens of literature","Some decades are not simply a ten-year period but a cultural phase. The Sixties, it seems, started in 1963 with the assassination of JFK and lasted until 1975, when we withdrew our military forces from Saigon and quit the war we lost. The literature of the period reflects some of this upheaval-new themes, greater candor, many different kinds of experiments. ",School Of Continuing Studies,2020-21,,,,,,
MSN,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=621&p_subj=MSNE,E621,Fall 2021,M.M.S. Research Project I,3,NO,G,No notable focus on sustainability.,"This is the first part of the M.M.E. research project course. The faculty advisor, taking into account the background and research interests of the student as well as the research interests of the faculty advisor, will determine the contents. Course requirements will include a final report. Instructor Permission Required. Repeatable for Credit.",Materials Science And Nanoengineering,2021-2022,,,,,,
MSNE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=007&p_subj=MSNE,7,Fall 2021,Visiting Research,0,NO,UG,No notable focus on sustainability.,Research conducted by visiting student scholars. Department Permission Required. Repeatable for Credit.,Materials Science And Nanoengineering,2021-2022,,,,,,
MSNE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=201&p_subj=MSNE,201,Fall 2021,Intro To Nanotech For Engr,3,Y - Inclusive,UG,"The intersection between energy, medicine, and engineering with nanotechnology could have a sustainability component, given the combination of all of these areas of study to create technology that improves the future.","Introduction to the properties of nanomaterials and their applications in engineering, technology, chemistry, energy, biology, and medicine. General discussion of nanotechnology, from multidisciplinary research to consumer products, suitable for all levels and specializations. Students will develop the understanding needed to separate the hype form the real in one of the most dynamic and prolific areas of research in the last ten years. Includes demonstrations, student-lead projects, and lab tours. Required for MSME majors.",Materials Science And Nanoengineering,2021-2022,,,,,,
MSNE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=210&p_subj=MSNE,210,Fall 2021,Wild Topics Chem And Nanotech,1,NO,UG,No notable focus on sustainability.,"A variety of topics related to chemistry and nanotechnology will be discussed. Some topics are classical while others are current. Topics may include nanocars, molecular electronics, how to form a startup company. Grades will be based upon attendance and quizzes. Cross-list: CEVE 210, CHEM 210. Repeatable for Credit.",Materials Science And Nanoengineering,2021-2022,,,,,,
MSNE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=222&p_subj=MSNE,222,Fall 2021,Biomimetic Materials,3,Y - Focus,UG,The usage of biometic materials from nature sparks an important conversation about sustainable materials.,"This course will discuss the origin of several materials that exist in nature from a technology perspective and strategies to replicate them using synthetic materials processing protocols. Silicates, carbon-based materials, abalone shells, bone, etc. will be used to discuss the fascinating architecture developed by nature. Similarly, several functional structures designed by nature such as Gecko tape and IR sensors will be discussed for designing bio-medic structures and devices. NOTE: Not offered every year. Graduate/Undergraduate Equivalency: MSNE 555.",Materials Science And Nanoengineering,2021-2022,,,,,,
MSNE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=238&p_subj=MSNE,238,Fall 2021,Special Topics,1 to 4,NO,UG,No notable focus on sustainability.,Topics and credit hours may vary each semester. Contact department for current semester topic(s). Repeatable for Credit.,Materials Science And Nanoengineering,2021-2022,,,,,,
MSNE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=301&p_subj=MSNE,301,Fall 2021,Materials Science For Engrs,3,NO,UG,No notable focus on sustainability.,"Introduction to the science of solid materials. Includes metals, ceramics, plastics, and semiconductors, as well as the properties of solid materials from atomic and macroscopic points of view. Required for materials science and engineering majors. NOTE: Freshman can also register for this course.",Materials Science And Nanoengineering,2021-2022,,,,,,
MSNE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=302&p_subj=MSNE,302,Fall 2021,Materials Processing,3,NO,UG,No notable focus on sustainability.,"The course will discuss diverse materials forming processes, including applications for metals, ceramics and polymers. Forming processes from very large to nano scale will be discussed. Emphasis will be understanding how forming processes affect materials properties and how processes are selected based upon the materials and sizes of components being manufactured. Course content will be useful for diverse engineering majors and will be appropriate for sophomores - seniors.",Materials Science And Nanoengineering,2021-2022,,,,,,
MSNE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=304&p_subj=MSNE,304,Fall 2021,Materials Science Junior Lab,3,NO,UG,No notable focus on sustainability.,"Through this course, you will be able to independently operate various types of common materials testing and metallography equipment. The labs provide a path of self-discovery about the depth of your knowledge and your intuitive insight into the quality of experimental data. You will learn, acquire and demonstrate Materials Laboratory fundamentals. Open only to junior materials science and engineering majors. Required for materials science and engineering majors. Instructor Permission Required. Mutually Exclusive: Cannot register for MSME 304 if student has credit for MSNE 303.",Materials Science And Nanoengineering,2021-2022,,,,,,
MSNE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=311&p_subj=MSNE,311,Fall 2021,Materials Selection & Design,3,NO,UG,No notable focus on sustainability.,Diverse types of commercially available materials are considered for applications of current economic importance based on their various useful properties. Student learning is primarily through a hands-on team project and deconstruction of commercial products as well as individual oral presentations. Instructor Permission Required.,Materials Science And Nanoengineering,2021-2022,,,,,,
MSNE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=365&p_subj=MSNE,365,Fall 2021,Nanomaterials For Energy,3,Y - Focus,UG,Has a sustainability component of nanomaterials!,"This course will introduce students to the fundamental science of nanomaterials. Many of the concepts will be explained by drawing from applications in sustainability (photovoltaics, solar-to-fuel conversion thermionic, thermoelectric, fuel cells). Students will design a lab demo from scratch using amongst others the infrastructure provided by the photonics measurement lab. Cross-list: ELEC 365.",Materials Science And Nanoengineering,2021-2022,,,,,,
MSNE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=389&p_subj=MSNE,389,Fall 2021,Ethics & Safety For Mater Eng,1,NO,UG,No notable focus on sustainability.,"Moral duty as well as legal and contractual obligations related to the practice of materials engineering. Issues of importance include safety, conflicts of interest, noncompetition & nondisclosure agreements, as well as confidential and proprietary information. Several examples of ethical lapses and various fraudulent activities will be reviewed, as well as “special processes” which pose the greatest risk for ethics violations. Graduate/Undergraduate Equivalency: MSNE 589.",Materials Science And Nanoengineering,2021-2022,,,,,,
MSNE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=401&p_subj=MSNE,401,Fall 2021,Thermodynamics In Mat Science,3,NO,UG,No notable focus on sustainability.,"Unified presentation of the kinetics and thermodynamics of mass and energy transport. Includes heterogeneous equilibrium, diffusion in solids, and heat transfer, as well as their application to engineering design. Required for materials science and engineering majors. Graduate/Undergraduate Equivalency: MSNE 503. Mutually Exclusive: Cannot register for MSNE 401 if student has credit for MSNE 503.",Materials Science And Nanoengineering,2021-2022,,,,,,
MSNE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=402&p_subj=MSNE,402,Fall 2021,Mech Properties Of Materials,3,NO,UG,No notable focus on sustainability.,"Survey of the mechanical properties of solid materials. Includes basic mechanics, elasticity, plasticity, fracture, fatigue, creep, hardening mechanisms, mechanical testing, and structure-property relationships. Required for materials science and engineering majors. Graduate/Undergraduate Equivalency: MSNE 502. Mutually Exclusive: Cannot register for MSME 402 if student has credit for MSNE 502.",Materials Science And Nanoengineering,2021-2022,,,,,,
MSNE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=406&p_subj=MSNE,406,Fall 2021,Physical Properties Of Solids,3,NO,UG,No notable focus on sustainability.,"Survey of the electrical, magnetic, and optical properties of metals, semiconductors, and dielectrics based upon elementary band theory concepts. Required for materials science and engineering majors. Graduate/Undergraduate Equivalency: MSNE 506. Mutually Exclusive: Cannot register for MSME 406 if student has credit for MSNE 506.",Materials Science And Nanoengineering,2021-2022,,,,,,
MSNE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=407&p_subj=MSNE,407,Fall 2021,Capstone Design Project I,4,Y - Inclusive,UG,Projects could have a sustainability component?,"An interdisciplinary capstone design experience in materials science and nanoengineering. This course provides an opportunity for students to apply knowledge and skills acquired in previous courses to the solution of a realistic engineering problem. Teams of students will specify, design, and build an engineering system/device to meet a prescribed set of requirements. Must complete MSNE 408 to receive credit for MSNE 407 and both courses must be taken the same academic year. Required for MSME majors in B.S. program. Instructor Permission Required.",Materials Science And Nanoengineering,2021-2022,,,,,,
MSNE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=408&p_subj=MSNE,408,Spring 2022,Capstone Design Project Ii,3,Y - Inclusive,UG,Projects could have a sustainability component?,"An interdisciplinary capstone design experience in materials science and nanoengineering. This course provides an opportunity for students to apply knowledge and skills acquired in previous courses to the solution of a realistic engineering problem. Teams of students will specify, design, and build an engineering system/device to meet a prescribed set of requirements. Must complete MSNE 407 to receive credit for MSNE 408 and both courses must be taken the same academic year. Required for MSME majors in B.S. program. Instructor Permission Required.",Materials Science And Nanoengineering,2021-2022,,,,,,
MSNE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=411&p_subj=MSNE,411,Fall 2021,Materials Characterization,3,NO,UG,No notable focus on sustainability.,"Sample preparation, visible light microscopy, optical interferometry used for profilometry, scanning electron microscopy, x-ray spectroscopy and microanalysis, hardness testing, calorimetry, and thermogravimetric analysis. Applications include evaluation of composition, structure, properties, and defects as well as fractography and failure analysis. Structures of primary interest are those resulting from nonequilibrium processing. Required for the BS-MSNE. Graduate/Undergraduate Equivalency: MSNE 511.",Materials Science And Nanoengineering,2021-2022,,,,,,
MSNE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=413&p_subj=MSNE,413,Fall 2021,Additive Manufacturing,3,NO,UG,No notable focus on sustainability.,"Basic principles and applications of additive manufacturing (AM), Various AM processes. Materials science such as polymers, metals, ceramics, composites, and bio-materials for AM. Selection of material and process for design applications such as structures, electronics, biomedical, and consumer products. Hands-on experience and analysis from digital data to physical objects. Graduate/Undergraduate Equivalency: MSNE 513. Mutually Exclusive: Cannot register for MSME 413 if student has credit for MSNE 513.",Materials Science And Nanoengineering,2021-2022,,,,,,
